_id,name,state,type
5e5e41c075d30453e0678b0e,CHITTORGARH,RAJASTHAN,TO
5e6225bf3f1b3923a78d9632,UJJAIN,MADHYA PRADESH,TO
5e6342d17d41183d43432dd4,RAIPUR,CHATTISGARH,FROM
5e688c96ae18152f39b8b103,ALWAR,RAJASTHAN,TO
5e6b3d86fb2ae66052878605,DAHEJ,GUJARAT,FROM
5e6b9286b810596ff41ed647,NOIDA,UTTAR PRADESH,FROM
5e6f688afe647b383e44b697,MAHBUBNAGAR,TELANGANA,TO
5e7205cb269b6d7072fc5616,UDAIPUR,RAJASTHAN,FROM
5e730b73f3526e26b327de6b,NORTH GOA,GOA,TO
5e7df42d3671875d3acb4ff3,HOOGHLY,WEST BENGAL,TO
5e7df4383671875d3acb4ff4,BIRBHUM,WEST BENGAL,TO
5e7df49a3671875d3acb4ff5,KOLKATA,WEST BENGAL,TO
5e7df4a73671875d3acb4ff6,KOLKATA,WEST BENGAL,FROM
5ea42dd5144ced61ff510720,VIJAYWADA,ANDHRA PRADESH,TO
5eabb32923112658dac623d4,JODHPUR,RAJASTHAN,FROM
5eb54c1d91f62b5e5ab8aec3,SOLAPUR,MAHARASHTRA,FROM
5ec8d4b1fa05e502a351e262,KANPUR,UTTAR PRADESH,FROM
5eccdb3b86deb46b94d4bb89,MAHAD,MAHARASHTRA,TO
5eccdb8086deb46b94d4bb95,MAHAD,MAHARASHTRA,FROM
5ece4f87c5bbd31708150fc6,DELHI,DELHI,TO
5ecf6c1bbbaf1f3144b0f4b0,KANPUR,UTTAR PRADESH,TO
5ed4b9e4c5442a3f535fd28f,GHAZIABAD,UTTAR PRADESH,TO
5ed63ab92e69477dcad7d20d,AJMER,RAJASTHAN,FROM
5ed754a7b1f39211900ee9d9,WASHIM,MAHARASHTRA,TO
5eda223946ea2d6848adf15f,LUCKNOW,UTTAR PRADESH,TO
5ee75fd9bb4f1646afdd6574,GAUTAM BUDDH NAGAR,UTTAR PRADESH,TO
5eeb0a81af06472cef4bde6e,FARIDABAD,HARYANA,TO
5eeb0abaaf06472cef4bde6f,JHAJJAR,HARYANA,TO
5eeb3771b4453433aeed66c0,VARANASI,UTTAR PRADESH,TO
5eeb3854b4453433aeeda293,SONIPAT,HARYANA,TO
